变量,β系数,SE,OR值,95%CI下限,95%CI上限,P值,VIF
是否机械预防,-3.4534,0.7731,0.0316,0.007,0.144,0.0,1.45
规范预防,-2.2316,0.7446,0.1074,0.0249,0.462,0.0027,1.45
