变量,β系数,SE,OR值,95%CI下限,95%CI上限,P值,VIF
是否步速缓慢,2.5472,1.0842,12.7715,1.5254,106.9328,0.0188,1.92
是否机械预防,1.0944,0.6024,2.9875,0.9174,9.7283,0.0692,1.92
